./client_with_asio/client_with_asio 2359 120.26.200.117 12333 500 2>/dev/null

10:52.12 76:2	72:2	144:2	94:2	71:1	78:1	79:2	71:1	72:1	72:1	max:144 avrg10:82 ext_packet_snd:241% ext_size_snd:143%
10:52.12 78:1	75:1	76:1	74:1	68:1	71:1	74:1	76:1	76:1	75:1	max:78 avrg10:74
10:52.13 81:1	73:1	74:1	83:2	71:1	81:1	69:1	74:1	73:1	72:1	max:83 avrg10:75 9.8KB/s(in)
10:52.13 73:1	74:1	73:1	89:2	74:2	71:1	76:1	77:2	70:1	76:1	max:89 avrg10:75
10:52.14 69:1	73:1	73:1	73:1	78:1	67:1	74:1	68:1	72:2	71:2	max:78 avrg10:71
10:52.14 71:1	75:2	71:1	69:1	70:1	75:1	75:2	74:1	69:1	77:1	max:77 avrg10:72
10:52.15 74:1	70:1	73:1	70:1	70:1	77:2	74:2	73:1	69:1	69:1	max:77 avrg10:71
10:52.15 79:2	74:1	74:1	73:1	68:1	73:1	73:1	72:1	67:2	72:1	max:79 avrg10:72
10:52.16 67:1	75:1	71:1	70:1	75:2	69:1	80:2	73:1	75:1	74:1	max:80 avrg10:72
10:52.16 75:1	79:1	74:1	74:1	72:1	68:1	68:1	72:1	71:2	71:2	max:79 avrg10:72 max100:144 avrg100:74 avrgall:91
10:52.17 71:1	76:1	75:1	70:1	73:1	69:1	74:1	73:1	69:1	74:1	max:76 avrg10:72 ext_packet_snd:240% ext_size_snd:142%
10:52.17 74:1	68:1	74:1	75:1	73:1	74:1	77:1	72:1	72:1	73:1	max:77 avrg10:73
10:52.18 67:1	73:1	74:1	72:1	72:1	71:2	71:1	77:1	78:2	70:1	max:78 avrg10:72
10:52.18 70:1	69:1	70:1	76:2	70:2	75:1	69:1	74:1	74:1	70:1	max:76 avrg10:71
10:52.19 74:1	68:1	73:1	75:1	72:1	74:1	72:1	74:1	78:1	72:1	max:78 avrg10:73
10:52.19 74:1	78:1	70:1	71:1	80:1	70:1	75:1	70:1	78:2	78:2	max:80 avrg10:74
10:52.20 75:1	74:1	72:1	73:1	72:1	73:1	66:1	74:2	145:3	135:2	max:145 avrg10:85
10:52.20 100:2	79:1	74:1	155:3	121:1	104:1	75:1	67:1	73:1	76:1	max:155 avrg10:92
10:52.21 71:1	72:1	70:1	70:1	89:2	72:2	74:1	149:3	119:1	98:1	max:149 avrg10:88
10:52.21 68:1	73:2	73:1	69:1	72:2	72:2	77:2	70:1	70:1	140:3	max:140 avrg10:78 max100:155 avrg100:78 avrgall:91
10:52.22 125:2	84:2	75:2	78:1	69:1	73:1	74:1	77:1	79:1	73:1	max:125 avrg10:80 ext_packet_snd:240% ext_size_snd:142%
10:52.22 69:1	67:1	73:2	67:1	72:1	71:1	80:1	71:1	70:1	71:1	max:80 avrg10:71
10:52.23 71:1	75:1	75:1	69:1	81:2	75:1	78:1	210:3	160:2	110:2	max:210 avrg10:100 9.8KB/s(in)
